course_id,category
214507224,0
214507226,0
214507239,0
214507331,0
214507365,0
214507385,0
214507387,0
214507408,0
214507415,0
214507445,0
214507447,0
214507481,0
214507492,0
214507500,0
214507556,0
214507610,0
214507708,0
214507802,0
214507897,0
214507927,0
214507948,0
214508000,0
214508015,0
214508027,0
214508113,0
214508137,0
214508139,0
214508225,0
214508237,0
214508244,0
214508287,0
214508291,0
214508304,0
214508308,0
214508321,0
214508347,0
214508362,0
214508375,0
214508377,0
214508379,0
214508392,0
214508432,0
214508439,0
214508473,0
214508475,0
214508484,0
214508488,0
214508497,0
214508503,0
214508512,0
214508531,0
214508535,0
214508537,0
214508555,0
214508557,0
214508563,0
214508570,0
214508576,0
214508585,0
214508634,0
214508679,0
214508842,0
214508852,0
214508855,0
214508942,0
214508964,0
214508998,0
214509000,0
214509002,0
214509007,0
214509013,0
214509032,0
214509035,0
214509037,0
214509039,0
214509041,0
214509043,0
214509054,0
214509071,0
214509073,0
214509075,0
214509080,0
214509082,0
214509084,0
214509086,0
214509090,0
214509092,0
214509110,0
214509120,0
214509125,0
214509127,0
214509129,0
214509133,0
214509135,0
214509137,0
214509142,0
214509144,0
214509146,0
214509148,0
214509150,0
214509152,0
214509155,0
214509157,0
214509161,0
214509163,0
214509165,0
214509172,0
214509174,0
214509176,0
214509178,0
214509180,0
214509195,0
214509197,0
214509202,0
214509206,0
214509208,0
214509219,0
214509260,0
214509262,0
214509264,0
214509266,0
214509270,0
214509296,0
214509298,0
214509300,0
214509305,0
214509307,0
214509311,0
214509313,0
214509315,0
214509317,0
214509320,0
214509324,0
214509326,0
214509328,0
214509330,0
214509337,0
214509339,0
214509341,0
214509343,0
214509345,0
214509347,0
214509350,0
214509352,0
214509354,0
214509356,0
214509358,0
214509360,0
214509362,0
214509365,0
214509373,0
214509375,0
214509377,0
214509380,0
214509382,0
214509384,0
214509386,0
214509388,0
214509390,0
214509392,0
214509397,0
214509399,0
214509401,0
214509403,0
214509407,0
214509440,0
214509517,0
214509519,0
214509525,0
214509530,0
214509540,0
214509545,0
214509547,0
214509549,0
214509551,0
214509553,0
214509555,0
214509557,0
214509562,0
214509564,0
214509566,0
214509568,0
214509570,0
214509572,0
214509583,0
214509585,0
214509587,0
214509590,0
214509592,0
214509600,0
214509602,0
214509605,0
214509607,0
214509609,0
214509611,0
214509615,0
214509617,0
214509620,0
214509622,0
214509624,0
214509626,0
214509630,0
214509632,0
214509635,0
214509637,0
214509639,0
214509641,0
214509643,0
214509645,0
214509647,0
214509650,0
214509652,0
214509654,0
214509656,0
214509658,0
214509660,0
214509662,0
214509665,0
214509667,0
214509669,0
214509671,0
214509673,0
214509675,0
214509677,0
214509680,0
214509688,0
214509690,0
214509695,0
214509699,0
214509701,0
214509703,0
214509705,0
214509707,0
214509710,0
214509712,0
214509714,0
214509716,0
214509718,0
214509720,0
214509722,0
214509725,0
214509727,0
214509729,0
214509731,0
214509733,0
214509735,0
214509737,0
214509740,0
214509742,0
214509746,0
214509748,0
214509750,0
214509752,0
214509755,0
214509757,0
214509759,0
214509761,0
214509763,0
214509765,0
214509767,0
214509772,0
214509774,0
214509776,0
214509778,0
214509780,0
214509782,0
214509785,0
214509787,0
214509793,0
214509795,0
214509797,0
214509800,0
214509827,0
214509830,0
214509832,0
214509834,0
214509836,0
214509838,0
214509840,0
214509842,0
214509845,0
214509851,0
214509853,0
214509855,0
214509857,0
214509860,0
214509862,0
214509864,0
214509866,0
214509870,0
214509872,0
214509877,0
214509879,0
214509881,0
214509892,0
214509907,0
214509909,0
214509911,0
214509913,0
214509915,0
214509920,0
214509930,0
214509939,0
214509943,0
214509977,0
214509980,0
214509982,0
214509984,0
214509986,0
214510007,0
214510044,0
214510048,0
214510057,0
214510061,0
214510067,0
214510070,0
214510074,0
214510089,0
214510091,0
214510100,0
214510106,0
214510108,0
214510110,0
214510117,0
214510147,0
214510155,0
214510205,0
214510207,0
214510209,0
214510211,0
214510215,0
214510220,0
214510445,0
214510447,0
214510449,0
214510451,0
214510453,0
214510455,0
214510457,0
214510460,0
214510575,0
214510689,0
214510700,0
214510712,0
214510727,0
214510730,0
214510732,0
214510736,0
214510738,0
214510740,0
214510742,0
214510755,0
214510757,0
214510772,0
214510775,0
214510777,0
214510779,0
214510781,0
214510783,0
214510785,0
214510802,0
214510805,0
214510807,0
214510820,0
214510854,0
214510871,0
214510873,0
214510875,0
214510948,0
214511006,0
214511015,0
214511021,0
214511047,0
214511053,0
214511055,0
214511057,0
214511060,0
214511062,0
214511068,0
214511070,0
214511072,0
214511075,0
214511083,0
214511085,0
214511092,0
214511102,0
214511109,0
214511111,0
214511113,0
214511115,0
214511117,0
214511120,0
214511152,0
214511156,0
214511195,0
214511199,0
214511201,0
214511207,0
214511244,0
214511265,0
214511319,0
214511334,0
214511375,0
214511402,0
214511447,0
214511450,0
214511465,0
214511488,0
214511501,0
214511550,0
214511552,0
214511664,0
214511696,0
214511743,0
214511790,0
214511803,0
214511816,0
214511840,0
214511852,0
214511870,0
214511900,0
214511912,0
214511932,0
214511940,0
214511953,0
214511966,0
214512000,0
214512080,0
214512122,0
214512137,0
214512152,0
214512172,0
214512189,0
214512236,0
214512262,0
214512277,0
214512410,0
214512412,0
214512414,0
214512416,0
214512420,0
214512425,0
214512427,0
214512429,0
214512431,0
214512442,0
214512444,0
214512450,0
214512457,0
214512459,0
214512467,0
214512476,0
214512482,0
214512487,0
214512489,0
214512493,0
214512497,0
214512500,0
214512504,0
214512506,0
214512605,0
214512611,0
214512626,0
214512630,0
